Freq (Hz)	Amplitude
6.131289570143284351e+00	5.162569895160495914e-02
6.164611796067976712e+00	5.785312971671739968e-01
6.197934021992668185e+00	7.834531750914827120e-01
6.231256247917359659e+00	7.051461112144291610e-01
6.264578473842052020e+00	6.814767395158959351e-01
6.297900699766743493e+00	4.059229453376774766e-01
6.331222925691434966e+00	6.997362525171195724e-01
6.364545151616127328e+00	8.603220738533540191e-01
6.397867377540818801e+00	8.156440652374734590e-01
6.431189603465510274e+00	1.004361358792244641e+00
6.464511829390202635e+00	6.234438003414486396e-01
6.497834055314894108e+00	4.816194360207868286e-01
6.531156281239585581e+00	4.458444864008398456e-01
6.564478507164277943e+00	5.527427406178554437e-01
6.597800733088969416e+00	6.135202416546108317e-01
6.631122959013660889e+00	9.137424686935037288e-01
6.664445184938353250e+00	7.998780669831753176e-01
6.697767410863044724e+00	1.127218810165778073e+00
6.731089636787736197e+00	1.050770067042380962e+00
6.764411862712428558e+00	1.017003483524944851e+00
6.797734088637120031e+00	8.645190888677616314e-01
6.831056314561811504e+00	6.190917347889811628e-01
6.864378540486503866e+00	5.608562364751630280e-01
6.897700766411195339e+00	5.947222663310977042e-01
6.931022992335886812e+00	4.543649947295248515e-01
6.964345218260579173e+00	5.500293165311829213e-01
6.997667444185270647e+00	3.575889519856242371e-01
7.030989670109962120e+00	5.282654327573654829e-02
7.064311896034654481e+00	2.013177564703948208e-02
7.097634121959345954e+00	1.354525082226777810e+00
7.130956347884037427e+00	3.710263101593241908e-01
7.164278573808729789e+00	5.170209180531301074e-01
7.197600799733421262e+00	9.616842492544569465e-01
7.230923025658112735e+00	3.717786453818330283e-01
7.264245251582805096e+00	3.852664522370772282e-01
7.297567477507496569e+00	2.126233202487091689e-01
7.330889703432188043e+00	3.421945644841023482e-01
7.364211929356880404e+00	4.245445236748688900e-01
7.397534155281571877e+00	4.699554739654071556e-01
